id,name,time,location,host,url
"310989566","Turn Your Vision Into Reality - Transform Your Life","Tue, Sep 30 · 11:00 AM EDT","NYC","Tue, Sep 30 · 11:00 AM EDT","https://www.meetup.com/the-becoming-project-unlock/events/310989566/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-new-chapter-injected&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"311021088","Google NY Site Reliability Engineering (SRE) Tech Talks, 23 Sep 2025","Tue, Sep 23 · 6:30 PM EDT","NYC","Tue, Sep 23 · 6:30 PM EDT","https://www.meetup.com/new-york-site-reliability-engineering-tech-talks/events/311021088/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"310701012","NY AI Engineers: Oct Tech Talk w/ OpenRouter Presenting","Wed, Oct 15 · 6:30 PM EDT","NYC","Wed, Oct 15 · 6:30 PM EDT","https://www.meetup.com/new-york-ai-engineers/events/310701012/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"306276835","Hoboken Social Mixer 🍻 and Shmoozing 👨🏾‍🤝‍👨🏽💬👩🏿‍🤝‍👩🏾","Wed, Sep 24 · 6:00 PM EDT","NYC","Wed, Sep 24 · 6:00 PM EDT","https://www.meetup.com/meetup-group-mlutqiwy/events/306276835/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"306214890","AI/ML Conversations Meetup: TBD","Monthly","NYC","Monthly • Tue, Oct 7 · 5:30 PM EDT","https://www.meetup.com/new-york-ai-ml-conversations/events/306214890/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"310852192","Machine Learning and Sorting","Mon, Sep 29 · 7:00 PM EDT","NYC","Mon, Sep 29 · 7:00 PM EDT","https://www.meetup.com/new-york-machine-learning-meetup-group/events/310852192/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"311061267","NYC++: Sep 25 2025 at Incredibuild, ft., Amir Kirsh","Thu, Sep 25 · 6:00 PM EDT","NYC","Thu, Sep 25 · 6:00 PM EDT","https://www.meetup.com/new-york-c-c-meetup-group/events/311061267/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"310760842","Boardgames & Cookies","Sat, Sep 20 · 3:00 PM EDT","NYC","Sat, Sep 20 · 3:00 PM EDT","https://www.meetup.com/socially-awkward-but-im-trying/events/310760842/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"310960673","NYC Code and Coffee 78 at Pursuit - LIC, Queens","Sun, Sep 21 · 2:00 PM EDT","NYC","Sun, Sep 21 · 2:00 PM EDT","https://www.meetup.com/new-york-code-coffee/events/310960673/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-offline&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
"308647199","The Mirror Doesn’t Lie: A Self-Love Body Language Workshop","Mon, Oct 6 · 7:30 PM EDT","NYC","Mon, Oct 6 · 7:30 PM EDT","https://www.meetup.com/body-language-training-new-york/events/308647199/?recId=e07be7b8-7c40-45bb-aab0-a4c718a56236&recSource=ml-popular-events-nearby-online&searchId=0863a27e-87d5-403a-9578-7d9510ce867c&eventOrigin=find_page%24all"
