id,name,time,host,venue,address,cleaned_url,image_url,map_url,tags
"292348667","Emotional Intelligence & Construction Project Management (Nwachinemelu Ibeagwa)","Thu, Sep 25 · 6:00 PM EDT","Thu, Sep 25 · 6:00 PM EDT","undefined","undefined","https://www.meetup.com/bahamas-agile-project-management-community-meetup-group/events/292348667/","Image not found","Map link not found","Project Management | Entrepreneurship | Social Networking | Motivation & Success | Personal Development"
"299243461","Korean Tapas at Mokyo","Wed, Oct 8 · 6:30 PM EDT","Wed, Oct 8 · 6:30 PM EDT","undefined","undefined","https://www.meetup.com/dining-for-xennials/events/299243461/","https://secure.meetupstatic.com/photos/event/6/a/a/4/highres_530247300.webp?w=3840","Map link not found","Events in New York, NY | Korean Food | Intellectual Discussions | Dining Out | Exploring New Restaurants | Foodie"
"299244679","We like creating meetups so much we are taking it on the road! Come join us-!!","Wed, Sep 24 · 9:00 PM EDT","Wed, Sep 24 · 9:00 PM EDT","undefined","undefined","https://www.meetup.com/iwanttodothatdetroit/events/299244679/","https://secure.meetupstatic.com/photos/event/b/1/6/2/highres_519165410.webp?w=3840","Map link not found","Social Networking | Women's Social | Fun Times | New In Town | Social"
"304160056","Let's visit NY Comic-Con together!","Sun, Oct 12 · 9:00 AM EDT","Sun, Oct 12 · 9:00 AM EDT","undefined","undefined","https://www.meetup.com/neverwinter-free-parties/events/304160056/","https://secure.meetupstatic.com/photos/event/7/9/0/0/highres_524250976.webp?w=3840","Map link not found","Events in New York, NY | Expat | Anime | Anime Cosplay | Cosplay | Social"
"304405526","Community Meetup #111","Thu, Oct 9 · 5:30 PM EDT","Thu, Oct 9 · 5:30 PM EDT","undefined","undefined","https://www.meetup.com/the-things-network-nyc-community-meetup/events/304405526/","https://secure.meetupstatic.com/photos/event/7/5/3/4/highres_457590004.jpeg?w=3840","Map link not found","Events in New York, NY | New Technology | Internet of Things (IOT) | IOT Hacking | Open Source | LoRa, LoRaWAN"
"305285864","[In Person] NYC SUG is turning 16 - group reunion and cake cutting","Wed, Oct 15 · 6:00 PM EDT","Wed, Oct 15 · 6:00 PM EDT","undefined","undefined","https://www.meetup.com/nyc-scrum-user-group/events/305285864/","https://secure.meetupstatic.com/photos/event/a/c/c/6/highres_525404230.webp?w=3840","Map link not found",""
"305477550","NYVR - October 2025","Wed, Oct 8 · 6:00 PM EDT","Wed, Oct 8 · 6:00 PM EDT","undefined","undefined","https://www.meetup.com/nyvr-virtual-reality-nyc/events/305477550/","Image not found","Map link not found","Events in new york, NY"
"305560872","The Catalyst: RNA and the Quest to Unlock Life's Deepest Secrets, Thomas Cech","Wed, Sep 24 · 7:00 PM EDT","Wed, Sep 24 · 7:00 PM EDT","undefined","undefined","https://www.meetup.com/maryland-science-book-club/events/305560872/","https://secure.meetupstatic.com/photos/event/4/9/highres_525660073.webp?w=3840","Map link not found",""
"305645627","Anthony's Nose to Fort Hill Park Free Hike","Sun, Oct 5 · 8:15 AM EDT","Sun, Oct 5 · 8:15 AM EDT","undefined","undefined","https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/305645627/","https://secure.meetupstatic.com/photos/event/6/9/8/4/highres_525747012.webp?w=3840","Map link not found","Events in New York, NY | Hiking | Wilderness Hiking | Natural Environment | Outdoors | Singles"
"305854437","Existentialism and the Authentic Life 4 Friedrich Nietzsche on Authentic Greatne","Every two weeks on Mon","Every two weeks on Mon • Sep 29 · 7:00 PM CDT","undefined","undefined","https://www.meetup.com/philosophy-austin/events/305854437/","https://secure.meetupstatic.com/photos/event/a/5/8/d/highres_529482381.webp?w=3840","Map link not found",""
"306087034","Club Meeting and Challenges of Digital Transformation Projects with Peter Carr","Tue, Sep 23 · 6:00 PM EDT","Tue, Sep 23 · 6:00 PM EDT","undefined","undefined","https://www.meetup.com/project-managers-united-toastmasters/events/306087034/","https://secure.meetupstatic.com/photos/event/b/a/a/1/highres_530147777.webp?w=3840","Map link not found","Project Management | Public Speaking | Toastmasters"
