id,name,time,location,host,url
292348667,Emotional Intelligence & Construction Project Management (Nwachinemelu Ibeagwa),"Thu, Sep 25 · 6:00 PM EDT",NYC,"Thu, Sep 25 · 6:00 PM EDT",https://www.meetup.com/bahamas-agile-project-management-community-meetup-group/events/292348667/
299243461,Korean Tapas at Mokyo,"Wed, Oct 8 · 6:30 PM EDT",NYC,"Wed, Oct 8 · 6:30 PM EDT",https://www.meetup.com/dining-for-xennials/events/299243461/
299244679,We like creating meetups so much we are taking it on the road! Come join us-!!,"Wed, Sep 24 · 9:00 PM EDT",NYC,"Wed, Sep 24 · 9:00 PM EDT",https://www.meetup.com/iwanttodothatdetroit/events/299244679/
304160056,Let's visit NY Comic-Con together!,"Sun, Oct 12 · 9:00 AM EDT",NYC,"Sun, Oct 12 · 9:00 AM EDT",https://www.meetup.com/neverwinter-free-parties/events/304160056/
304405526,Community Meetup #111,"Thu, Oct 9 · 5:30 PM EDT",NYC,"Thu, Oct 9 · 5:30 PM EDT",https://www.meetup.com/the-things-network-nyc-community-meetup/events/304405526/
305285864,[In Person] NYC SUG is turning 16 - group reunion and cake cutting,"Wed, Oct 15 · 6:00 PM EDT",NYC,"Wed, Oct 15 · 6:00 PM EDT",https://www.meetup.com/nyc-scrum-user-group/events/305285864/
305477550,NYVR - October 2025,"Wed, Oct 8 · 6:00 PM EDT",NYC,"Wed, Oct 8 · 6:00 PM EDT",https://www.meetup.com/nyvr-virtual-reality-nyc/events/305477550/
305560872,"The Catalyst: RNA and the Quest to Unlock Life's Deepest Secrets, Thomas Cech","Wed, Sep 24 · 7:00 PM EDT",NYC,"Wed, Sep 24 · 7:00 PM EDT",https://www.meetup.com/maryland-science-book-club/events/305560872/
305645627,Anthony's Nose to Fort Hill Park Free Hike,"Sun, Oct 5 · 8:15 AM EDT",NYC,"Sun, Oct 5 · 8:15 AM EDT",https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/305645627/
305854437,Existentialism and the Authentic Life 4 Friedrich Nietzsche on Authentic Greatne,Every two weeks on Mon,NYC,Every two weeks on Mon • Sep 29 · 7:00 PM CDT,https://www.meetup.com/philosophy-austin/events/305854437/
306087034,Club Meeting and Challenges of Digital Transformation Projects with Peter Carr,"Tue, Sep 23 · 6:00 PM EDT",NYC,"Tue, Sep 23 · 6:00 PM EDT",https://www.meetup.com/project-managers-united-toastmasters/events/306087034/
306214890,AI/ML Conversations Meetup: TBD,Monthly,NYC,"Monthly • Tue, Oct 7 · 5:30 PM EDT",https://www.meetup.com/new-york-ai-ml-conversations/events/306214890/
306276835,Hoboken Social Mixer 🍻 and Shmoozing 👨🏾‍🤝‍👨🏽💬👩🏿‍🤝‍👩🏾,"Wed, Sep 24 · 6:00 PM EDT",NYC,"Wed, Sep 24 · 6:00 PM EDT",https://www.meetup.com/meetup-group-mlutqiwy/events/306276835/
306388526,September 2025 NYAPM Happy Hour,Monthly,NYC,"Monthly • Mon, Sep 22 · 6:00 PM EDT",https://www.meetup.com/new-york-asian-professionals/events/306388526/
306389081,Manifest & Co-create Your Awesome life!!,Every two weeks on Wed,NYC,Every two weeks on Wed • Sep 24 · 7:30 PM CDT,https://www.meetup.com/connecting-neuroscience-law-psychology-and-spirituality/events/306389081/
306389083,Ask and It Is Given Book Study,Every two weeks on Mon,NYC,Every two weeks on Mon • Oct 6 · 8:30 PM CDT,https://www.meetup.com/connecting-neuroscience-law-psychology-and-spirituality/events/306389083/
306389086,"Connecting Neuroscience, Law, Psychology and Spirituality",Monthly,NYC,"Monthly • Wed, Oct 15 · 6:00 PM CDT",https://www.meetup.com/connecting-neuroscience-law-psychology-and-spirituality/events/306389086/
306429105,Tarrytown lakes and Rockefeller state parks Hike,"Sat, Sep 27 · 8:00 AM EDT",NYC,"Sat, Sep 27 · 8:00 AM EDT",https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/306429105/
306540834,Death Café of Greater Philadelphia,"Mon, Sep 29 · 7:00 PM EDT",NYC,"Mon, Sep 29 · 7:00 PM EDT",https://www.meetup.com/death-cafe-philadelphia/events/306540834/
306608967,🤝 Tech/Startup Founder Speed-Matchmaking: Find the people & skills you need,Monthly,NYC,"Monthly • Mon, Sep 22 · 4:00 PM EDT",https://www.meetup.com/daretoshift/events/306608967/
306864231,Bi-Weekly Discussion - Is the U.S. Facing an Energy Crisis?,Every two weeks on Sun,NYC,Every two weeks on Sun • Sep 28 · 3:00 PM EDT,https://www.meetup.com/philadelphia-political-agnostics/events/306864231/
307190530,Practice Public Speaking FREE Online - Table Topics Tuesday,Every Tue,NYC,Every Tue • Sep 23 · 6:05 PM EDT,https://www.meetup.com/new-york-practice-speaking-in-public-skills-meetup-group/events/307190530/
307215183,Hire Moment Mastermind - Open job search Q&A!,Every two weeks on Fri,NYC,Every two weeks on Fri • Sep 26 · 9:15 AM EDT,https://www.meetup.com/hire-moment-mastermind/events/307215183/
307238146,Lacking Self-Control {Akrasia} -- Aristotle's Nicomachean Ethics,Every Sun,NYC,Every Sun • Sep 21 · 4:00 PM EDT,https://www.meetup.com/freethinkerinstitute/events/307238146/
307304131,Americas Coaching Circle - 9:00pm Eastern Time,Monthly,NYC,"Monthly • Mon, Sep 22 · 9:00 PM EDT",https://www.meetup.com/global-coaching-circles/events/307304131/
307359023,The Association for Science and Reason (Skeptics Canada) Monthly Meetup,Monthly,NYC,"Monthly • Fri, Oct 17 · 7:00 PM EDT",https://www.meetup.com/skeptics-144/events/307359023/
307480809,Boston Indies Friday Coffee Hour (weekly zoom @ #events on Boston GameDev Slack),Monthly,NYC,"Monthly • Fri, Oct 3 · 8:30 AM EDT",https://www.meetup.com/bostongamedev/events/307480809/
307517709,Bear Mountain Free hike,"Sun, Oct 19 · 7:30 AM EDT",NYC,"Sun, Oct 19 · 7:30 AM EDT",https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/307517709/
307539294,"NYC Content Creators Meetup: Connect, Collaborate & Inspire","Sat, Sep 27 · 3:00 PM EDT",NYC,"Sat, Sep 27 · 3:00 PM EDT",https://www.meetup.com/content-creators-exchange-of-new-york/events/307539294/
307540183,Write the Docs East Coast Virtual Meetup,Every two weeks on Fri,NYC,Every two weeks on Fri • Oct 3 · 8:30 AM EDT,https://www.meetup.com/write-the-docs-east-coast/events/307540183/
307561554,"Data ingestion As A Service using Azure Service Bus, Storage and Azure SQL DB",Every two weeks on Wed,NYC,Every two weeks on Wed • Sep 24 · 7:00 PM EDT,https://www.meetup.com/serverless-microsoft-azure/events/307561554/
307625735,Dance Party Lip Sync Karaoke on Zoom 👏 Every Saturday @ 9:00 P.M. ET,Every Sat,NYC,Every Sat • Sep 20 · 9:00 PM EDT,https://www.meetup.com/the-best-online-karaoke-group-meetup/events/307625735/
307665643,Homecrest Malaysian Dinner at Makan House,"Tue, Sep 30 · 7:00 PM EDT",NYC,"Tue, Sep 30 · 7:00 PM EDT",https://www.meetup.com/dining-for-xennials/events/307665643/
307771199,NYC Blockchain Networking Event - Monthly 3rd Thurs. - Blockchain Cryptocurrency,Monthly,NYC,"Monthly • Thu, Oct 16 · 5:00 PM EDT",https://www.meetup.com/nyc-blockchain-network-monthly-3rd-thursday-meetup/events/307771199/
307787117,"TechConnect: Global Virtual Job & Networking Event for Data, AI, and Tech Pros",Monthly,NYC,"Monthly • Wed, Oct 1 · 4:00 PM EDT",https://www.meetup.com/ac-yyz/events/307787117/
307865420,Scrum Master & product Owner Webinar! Unique scrum master interview questions!,Monthly,NYC,"Monthly • Sat, Sep 27 · 10:30 AM EDT",https://www.meetup.com/agile-project-management-meetup-group/events/307865420/
307879785,Dover Stone Church and Nellie Hill Preserve,"Sun, Sep 21 · 6:45 AM EDT",NYC,"Sun, Sep 21 · 6:45 AM EDT",https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/307879785/
307925631,Building a Trading Plan You’ll Actually Follow,Every Mon,NYC,Every Mon • Sep 22 · 7:30 PM EDT,https://www.meetup.com/traders-investors-united/events/307925631/
307994647,Career Success Group Job Seeker Accountability & Networking,Monthly,NYC,"Monthly • Thu, Sep 25 · 9:30 AM EDT",https://www.meetup.com/philadelphia-area-great-careers-group/events/307994647/
308037723,Passive A.I Income: 7 Ways To Make Money With AI,Monthly,NYC,"Monthly • Thu, Sep 25 · 3:00 PM PDT",https://www.meetup.com/online-money-tribe-group/events/308037723/
308137208,PGConf NYC 2025 - Schedule Available!,"Mon, Sep 29 · 8:00 AM EDT",NYC,"Mon, Sep 29 · 8:00 AM EDT",https://www.meetup.com/postgres-nyc/events/308137208/
308156518,Brunch Social: Make New Friends,"Sun, Sep 21 · 12:30 PM EDT",NYC,"Sun, Sep 21 · 12:30 PM EDT",https://www.meetup.com/nyc-sunday-social/events/308156518/
308253278,UX Happy Hour irl (open to all levels),Every Thu,NYC,Every Thu • Sep 25 · 6:00 PM EDT,https://www.meetup.com/ux-support-group/events/308253278/
308253876,Time for (October) Book Club,"Mon, Oct 6 · 1:00 PM EDT",NYC,"Mon, Oct 6 · 1:00 PM EDT",https://www.meetup.com/nyc-genx-womengroup/events/308253876/
308265441,Master the Art of Public Speaking & Leadership while having fun!,"Wed, Sep 24 · 7:45 PM EDT",NYC,"Wed, Sep 24 · 7:45 PM EDT",https://www.meetup.com/bergen-toastmasters-public-speaking/events/308265441/
308396199,Real Estate Networking & Education in HASBROUK HEIGHTS | Wholesalers & Rehabbers,"Tue, Oct 7 · 6:30 PM EDT",NYC,"Tue, Oct 7 · 6:30 PM EDT",https://www.meetup.com/njreigroup/events/308396199/
308406050,Patterns NYC: An event for digital production and design system leaders,"Thu, Oct 9 · 8:00 AM PDT",NYC,"Thu, Oct 9 · 8:00 AM PDT",https://www.meetup.com/design-systems-community/events/308406050/
308434573,Networking - Connections & Collaborations,Monthly,NYC,"Monthly • Tue, Oct 7 · 1:00 PM EDT",https://www.meetup.com/cambridge-women-business-accelerator-meetup-group/events/308434573/
308540241,Nicole Scherzinger Live @ Carnegie Hall w (Dinner Option),"Wed, Oct 8 · 6:00 PM EDT",NYC,"Wed, Oct 8 · 6:00 PM EDT",https://www.meetup.com/gilligansadventures/events/308540241/
