id,name,time,location,host,url
"310877151","Solopreneur Kickoff: Money, Mindset & What You’re Building","Fri, Sep 26 · 2:00 PM EDT","Online","Starting Smart: First Money Steps for Soloprenuers","https://www.meetup.com/solostartingsmart/events/310877151/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-new-chapter-injected&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310731130","*In Person* Practice and improve your public speaking skills!","Tue, Sep 23 · 6:45 PM EDT","N/A","Greenspeakers Toastmasters Club - Practice Public Speaking","https://www.meetup.com/greenspeakers/events/310731130/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310892271","Thursday Night - Live In Person Trading. All levels welcome-Pizza served- zoom*","Thu, Sep 25 · 6:00 PM EDT","Hybrid","Day Traders of New York Beginners and Intermediate levels","https://www.meetup.com/day-traders-of-new-york-beginners-and-intermediate-levels/events/310892271/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310297801","Fintech Mixer: Innovators, Builders & Game Changers","Thu, Oct 9 · 6:00 PM EDT","N/A","NY Finance Meetup Group","https://www.meetup.com/ny-finance-meetup-group/events/310297801/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"307539294","NYC Content Creators Meetup: Connect, Collaborate & Inspire","Sat, Sep 27 · 3:00 PM EDT","N/A","Content Creators Exchange of New York","https://www.meetup.com/content-creators-exchange-of-new-york/events/307539294/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310910263","[Register on Luma] Tech and Startup Networking Mixer","Thu, Oct 2 · 5:00 PM EDT","N/A","Tech Startups of New York","https://www.meetup.com/startups-hq/events/310910263/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310560109","Small Business Consulting & Leadership Network","Sat, Sep 27 · 6:00 PM EDT","Online","Small Business Consulting & Leadership Network","https://www.meetup.com/small-business-consulting-leadership-network/events/310560109/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-online&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"308979199","NY's Biggest Professional Networking Mixer - Entrepreneur, Tech & Game-Changers","Mon, Oct 13 · 6:30 PM EDT","N/A","NY Tech, Creatives, and Business Professionals Happy Hour","https://www.meetup.com/meetup-group-grbqwgeh/events/308979199/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310890473","✈️ Earn While You Explore: Turn Travel Into a 6-Figure Lifestyle","Tue, Sep 23 · 2:00 PM EDT","Online","Detroit Vision to Reality Events Meetup Group","https://www.meetup.com/detroit-vision-to-reality-events-meetup-group/events/310890473/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-online&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
"310330602","New York Traders Happy Hour","Thu, Sep 25 · 6:00 PM EDT","N/A","New York Traders","https://www.meetup.com/new-york-traders/events/310330602/?recId=172258a7-3682-49aa-9ec1-e2f63083d8f4&recSource=ml-popular-events-nearby-offline&searchId=f5a8cc31-8984-40d9-a350-74c782da1cd0&eventOrigin=find_page%24all"
