id,name,time,location,host,url
"311120524","(Multi-Group) 🍎🍁🧣 Harvest Moon Orchard Day Escape 🌲🚋","Sat, Oct 11 · 10:00 AM EDT","N/A","A Second Chance at Love","https://www.meetup.com/a-second-chance-at-love/events/311120524/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-new-chapter-injected&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"310760842","Boardgames & Cookies","Sat, Sep 20 · 3:00 PM EDT","N/A","Socially Awkward but I'm Trying","https://www.meetup.com/socially-awkward-but-im-trying/events/310760842/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"311021088","Google NY Site Reliability Engineering (SRE) Tech Talks, 23 Sep 2025","Tue, Sep 23 · 6:30 PM EDT","N/A","New York Site Reliability Engineering Tech Talks","https://www.meetup.com/new-york-site-reliability-engineering-tech-talks/events/311021088/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"310701012","NY AI Engineers: Oct Tech Talk w/ OpenRouter Presenting","Wed, Oct 15 · 6:30 PM EDT","N/A","New York AI Engineers","https://www.meetup.com/new-york-ai-engineers/events/310701012/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"306214890","AI/ML Conversations Meetup: TBD","Monthly","Tue, Oct 7 · 5:30 PM EDT","New York AI/ML Conversations","https://www.meetup.com/new-york-ai-ml-conversations/events/306214890/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"306276835","Hoboken Social Mixer 🍻 and Shmoozing 👨🏾‍🤝‍👨🏽💬👩🏿‍🤝‍👩🏾","Wed, Sep 24 · 6:00 PM EDT","N/A","Jersey City Social - 🍓 letsbunch.com 🍓","https://www.meetup.com/meetup-group-mlutqiwy/events/306276835/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"311088798","New Friends & Great Food Walking Tour!","Sat, Sep 20 · 3:00 PM EDT","N/A","NYC Speedfriending","https://www.meetup.com/nyc-speedfriending/events/311088798/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"311087101","Ladies Meet New Friends Coffee Hangout","Sat, Sep 20 · 1:00 PM EDT","N/A","NYC Speedfriending","https://www.meetup.com/nyc-speedfriending/events/311087101/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"310852192","Machine Learning and Sorting","Mon, Sep 29 · 7:00 PM EDT","N/A","New York Machine Learning Meetup Group","https://www.meetup.com/new-york-machine-learning-meetup-group/events/310852192/?recId=362dac8d-cbe8-4f5f-ab2a-7447885b0dd6&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"311061267","NYC++: Sep 25 2025 at Incredibuild, ft., Amir Kirsh","Thu, Sep 25 · 6:00 PM EDT","N/A","NYC++ Meetup","https://www.meetup.com/new-york-c-c-meetup-group/events/311061267/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"310960673","NYC Code and Coffee 78 at Pursuit - LIC, Queens","Sun, Sep 21 · 2:00 PM EDT","N/A","New York Code & Coffee","https://www.meetup.com/new-york-code-coffee/events/310960673/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"310626186","New York Story Night","Mon, Sep 29 · 7:00 PM EDT","N/A","New York Story Night","https://www.meetup.com/new-york-story-night/events/310626186/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"309224598","Sketch at the Museum of the City of NY!","Sat, Sep 27 · 11:00 AM EDT","N/A","Central Park Sketching & Art Meetup Group","https://www.meetup.com/sketching/events/309224598/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"310731130","*In Person* Practice and improve your public speaking skills!","Tue, Sep 23 · 6:45 PM EDT","N/A","Greenspeakers Toastmasters Club - Practice Public Speaking","https://www.meetup.com/greenspeakers/events/310731130/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"311006867","Rust NYC: Rust/Python Interop & DB Design","Wed, Sep 24 · 6:30 PM EDT","N/A","Rust NYC","https://www.meetup.com/rust-nyc/events/311006867/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
"305645627","Anthony's Nose to Fort Hill Park Free Hike","Sun, Oct 5 · 8:15 AM EDT","N/A","Neverwinter Free Hiking and Cycling","https://www.meetup.com/neverwinter-free-hiking-and-cycling/events/305645627/?recId=bc7b50d5-b262-4700-84bf-dcc91d4306bb&recSource=ml-popular-events-nearby-offline&searchId=6fe1d402-8820-4ab0-97f3-793bd72024aa&eventOrigin=find_page%24all"
